DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
52,"Sopir On Call disaat libur atau tidak dinas, sopir datang tidak sesuai standar yaitu kurag dari 30 menit saat dihibungi pihak RS",Melayani Pelayanan ambulan pasien atau pengambilan darah pasien ke Bank darah PMI,,Operasional,Pasien,Jika petugas On call telat datang ke RS sehingga pasien yang telat dilayani sesuai dengan standar pelayanan yang kurang dari 30 menit dari saat waktu dihubungi pihak RS,"Rumah Sopir jauh dari RS, dengan perjalanan ke RS butuh waktu 45 menit",C,2,3,,Ada,Efektif,6,SEDANG,Tambah Sopir,,Transportasi,Trasnportasi,Umum 
53,renovasi/ kontruksi pada gedung rumah sakit,untuk meningkatkan pelayanan rumah sakit,O,Operasional,Bisnis RS,"karena tidak melakukan asesmen risiko kegiatan renovasi/ kontruksi pada bangunan rumah sakit mungkin aja ada bahaya yang tidak lakukan pengendalian sehingga berdampak pada pasien, pengunjung dan staf rs",karena tidak melaksanakan PCRA,C,3,4,panduan PCRA,Ada,Kurang Efektif,12,TINGGI,menerapkan PCRA setiap kegiatan renovasi / kontruksi dengan melakukan koordinasi dengan unit terkait,tentatif,"projek, IPSRS, K3 PPI","projek, IPSRS, K3 , PPI",K3RS
54,renovasi/ kontruksi pada gedung rumah sakit,untuk meningkatkan pelayanan rumah sakit,o,Operasional,Bisnis RS,karena tidak melakukan pemantauan pelaksanaan pcra oleh pihak pelaksana mungkin saja pada saat renovai / kontruksi ada kegiatan yang membayakan / mengganggu pada pelayanan,karena tidak melakukan pemantauan pelaksanaan PCRA,C,3,4,form kepatuhan pelaksanaan pcra,Ada,Kurang Efektif,12,TINGGI,"TIM K3, IPSRS, PPI melakukan audit kepatuhan pelaksanaan PCRA pada pelaksana renovai / kontruksi",tentatif,"projek, IPSRS, K3 PPI","projek, IPSRS, K3 , PPI",K3RS
55,mempersipkan kesiapan petugas dalam kebakaran,menjadi petugas yang siap dalam menhadapi kejadian kebakaran,o,Kepatuhan,Lingkungan,karena staf rumah sakit tidak paham cara penggunaan APAR mungkin saja pada saat kebakaran panik sehingga tidak bisa memadamkan api sejak dini menggunakan APAR,karena staf rumah sakit tidak paham menggunakan APAR,C,2,5,"SPO Penggunaan APAR , SPO code red",Ada,Kurang Efektif,10,TINGGI,"review SPO penggunakan APAR & CODE RED, melakukan pengetesan penggunan APAR pada semua staf rumah sakit secara berkala",setiap bulan,K3 & kepala unit kerja,K3 & kepala unit kerja,K3RS
56,mempersiapkan fasilitas penanggulangan kebakaran,untuk kesiapan menghadapi bencana kebakaran,K,Kepatuhan,Bisnis RS,karena tidak lakukan pengecekan fasilita kebakaran mungkun saja fasilitas yang tersedia rusak sehingga saat kejadian tidak berfungsi,karena tidak dilakukan pengecekan pada fasilitas kebakaran,C,3,4,"pengecekan APAR, HYDRNT, ALARM",Ada,Kurang Efektif,12,TINGGI,melakukan pengecekan semua fasilitas keselamatan kebakaran secara berkala,setiap bulan,"K3 , IPSRS",k3 & IPSRS,K3RS
57,lingkungan yang nyaman bebas asap rokok,"menciptakan lingkungan nyaman bagi paien , pengunjung dan staf",K,Kepatuhan,Lingkungan,"karena tidak ada larangan merokok di area rumah sakit mungkin saja pengunjung , staf rs merokok di area rumah sakit sehingga lingkungan rumah sakit tidak nyaman dan risiko kebakaran",karena tidak ada larangan merokok di area rumah sakit,C,3,3,"tim satgas KTR , banner, poster larangan merokok, pagging larangan merokok",Ada,Kurang Efektif,9,SEDANG,"melakukan pemantauan area risiko merokok, penempatan cctv pada area yang jarang di kunjungi oleh umum,",tentatif,"satgas KTR, K3","satgas kTR , K3",K3RS
58,tempat parkir,"penyedian tempat untuk parkir kendaraan pasien , pengunjung dan staf rs",K,Keuangan,Bisnis RS,karena tempat parkir rumah sakit terbatas mungkian saja kendaraan yang berkunjung ke rs tidak dapat tempat parkir sehinga orang yang berkunjung ke rs tidak jadi,karena lahan parkir terbatas,C,3,4,"memaksimalkan lahan parkir yang ada , menggunakan sistem parkir valey",Ada,Kurang Efektif,12,TINGGI,"memperluas lahan parkir, mengalihkan tempat parkir ke sekitar rs",tentatif,parkir dan manajemen,parkir dan manajeman,K3RS
59,kesiapan menghadapi bencana di internal dan ekternal rumah sakit,untuk mengurangi dampak dari bencana di rs,O,Operasional,Bisnis RS,karena tidak dilakukan simulasi bencana di rumah sakit mungkin saja petugas rumah sakit tidak paham sehingga saat kejadian bencana akan berdambak besar pada rumah sakit,karena tidak ada simulai bencana,UC,2,5,"panduan bencana rs, pelatihan bencana",Ada,Kurang Efektif,10,TINGGI,"revisi panduan setiap tahun, melakukan simulasi secara rutin",semester,K3 dan semua unit kerja,k3 dan semua unit kerja,K3RS
60,kemanan bayi,menjaga keamanan bayi ada di rumah sakit,K,Keuangan,Bisnis RS,karena pegamanan pada area bayi di rumah sakit tidak ketat mungkin saja ada orang masuk ke area bayi sehingga bayi hilang,pengaman area bayi lemah,C,1,5,pemangan lock door pada area bayi,Ada,Kurang Efektif,5,SEDANG,"membuat spo code pink, simulasi code pink",setahun sekali,security dan keperawatan,"K3 , security dan keperawatan",K3RS
61,menerapkan sign k3,untuk promosi penarapan k3 dan mencegah terjadinya kecelakaan dan penyakit akibat kerja,K,Kepatuhan,Bisnis RS,"karena di area rumah sakit tidak pasang sigin k3 mungkin saja pasien, pengunjung dan staf tidak melaksnakan k3 sehingga terjadi kecelakaan dan penyakit",karena tidak di pasang sign pada area rumah sakit,C,3,4,pemasangan sign k3,Ada,Kurang Efektif,12,TINGGI,update sign K3 di area rumah sakit,berkala,"K3, IPSRS","K3, IPSRS",K3RS
62,Belum terinstallnya anti virus license,Memastikan potensi penyerangan dari virus dan sejenisnya,,Legal,Bisnis RS,"belum adanya anti virus lisensi, potensi data terserang virus lebih besar",belum ada lisensi,C,2,3,Belum ada,Tidak,Kurang Efektif,6,SEDANG,Pengajuan pembelian anti virus lisensi,Tentative,SIRS,SIRS,IT
63,Proses backdata dilakukan secara rutin,Memastikan data terbackup dengan baik,,Operasional,Bisnis RS,"proses backup data belum dilakukan secara rutin, potensi kehilangan data lebih besar",belum rutin dilakukan,C,4,5,Masih berupa anjuran dan belum berupa panduan atau SPO,Tidak,Efektif,20,SANGAT TINGGI,Pembuatan SPO dan anjuran kepada user,Setiap bulan,SIRS,SIRS,IT
64,Lisensi windows dan microsoft office belum secara menyeluruh,Memastikan sistem informasi yang digunakan original,,Legal,Bisnis RS,karena belum ada lisensi windows dan office secara menyeluruh berpotensi rawan virus,belum ada lisensi,C,2,3,Belum ada,Tidak,Kurang Efektif,6,SEDANG,Pengajuan pembelian sistem operasi dan microsoft office,Tentative,SIRS,SIRS,IT
65,Pemeliharaan PC dan perangkat keras lainnya belum dilakukan secara rutin,Agar lifetime komputer lebih lama,,Keuangan,Bisnis RS,pemeliharaan PC dan perangkata keras dilakukan secara rutin agar umur PC lebih lama dan awet,belum ada jadwal rutin,C,3,3,Masih berupa anjuran dan belum berupa panduan atau SPO,Tidak,Efektif,9,SEDANG,Panduan dan penjadwalan,Setiap bulan,SIRS,SIRS,IT
66,Akun user dokter untuk akses ke teramedik diketahui oleh perawat/tenaga medis lainnya,Kewenangan akses harus dapat dipastikan sesuai dengan levelnya masing-masing,,Operasional,Bisnis RS,"penggunaan akun user akses tidak sesuai hak, menyalahi aturan penggunaan kewenangan",belum ada aturan/SPO yang mengatur,C,3,4,Masih berupa anjuran dan belum berupa panduan atau SPO,Tidak,Kurang Efektif,12,TINGGI,Pembuatan SPO dan anjuran kepada user,Setiap bulan,All,SIRS,IT
67,Permintaan perubahan/perbaikan sistem membutuhkan waktu yang lama,Memastikan setiap permintaan dapat terjangkau waktunya sesuai kesepakatan dengan vendor,,Operasional,Bisnis RS,Permintaan perubahan/perbaikan sistem yang lama akan menghambat operasional,ketentuan mandays pengerjaan perbaikan yang perlu disampaikan kembali,UC,3,4,Masih berupa anjuran dan belum berupa panduan atau SPO,Tidak,Kurang Efektif,12,TINGGI,Dibuatkan laporan sementara,Setiap bulan,All,SIRS,IT
68,Terjadinya downtime tidak terencana sistem teramedik core sistem belum tersedia,Mengantisipasi terjadinya downtime yang dapat mengganggu kegiatan operasional,,Operasional,Bisnis RS,jika downtime sistem tidak diantisipasi akan mengganggu kelancaran operasional,belum ada aturan/SPO yang mengatur,C,5,5,SPO,Tidak,Kurang Efektif,25,SANGAT TINGGI,Pembuatan SPO dan sosialisasi kepada user,Setiap bulan,SIRS,SIRS,IT
69,Sosialisasi teramedik tentang penginputan SOAP,Meminimalisir terjadinya kesalahan penginputan SOAP,,Operasional,Bisnis RS,sosialisasi modul teramedik tidak dilakukan secara berkala berpotensi terjadi kelupaan cara penginputan,jadwal sosialisasi belum ada,C,2,2,Belum ada,Tidak,Efektif,4,RENDAH,Timetable rencana pelatihan kepda dokter,Setiap bulan,SIRS,SIRS,IT
70,Mengantisipasi Pemadaman listrik secara tiba-tiba/tidak terencana yang menyebabkan server juga mati,Memastikan operasional tidak tertanggu,,Operasional,Fasilitas,Tidak mengantisipasi kejadian pemadaman listrik secara tiba-tiba berpotensi menyebabkan server opersional juga mati,belum ada aturan/SPO yang mengatur,C,4,4,belum ada,Tidak,Kurang Efektif,16,SANGAT TINGGI,Membuata panduan dan SPO untuk mengatisipasi terjadinya pemadaman baik terencana maupun tidak terencana,Setiap bulan,SIRS,SIRS,IT
71,Pencatatan dan Pengklasifikasian Transaksi Keuangan,Penyajian laporan keuangan sesuai dengan PSAK,,Keuangan,Bisnis RS,"Karena terjadi kesalahan pengklasifikasian, pengukuran dan pencatatan transaksi keuangan, mungkin saja mengakibatkan salah saji material pada laporan keuangan sehingga dapat mempengaruhi kesalahan dalam pengambilan keputusan Bisnis Perusahaan","Kesalahan Pengklasifikasian, pengukuran dan Pencatatan Transaksi Keuangan",C,2,2,Berkonsultasi dengan KAP atau Auditor Independent,Ada,Efektif,4,RENDAH,Berkonsultasi dengan KAP atau Auditor Independent,Setiap Bulan,Bisnis Perusahaan,Akuntansi,Akuntansi
72,Pengukuran Informasi Keuangan,Penyajian laporan keuangan sesuai dengan PSAK,,Keuangan,Bisnis RS,Karena terjadi kesalahan pengukuran biaya perpasien mungkin saja mengakibatkan salah saji material pada laporan keuangan sehingga dapat mengakibatkan kerugian finansial yang dapat mempengaruhi kesalahan dalam pengambilan keputusan bisnis perusahaan,Kesalahan pengukuran biaya per pasien,C,2,2,Berkonsultasi dengan KAP atau Auditor Independent,Ada,Efektif,4,RENDAH,Berkonsultasi dengan KAP atau Auditor Independent,Setiap Bulan,Bisnis Perusahaan,Akuntansi,Akuntansi
73,Pengukuran Informasi Keuangan,Penyajian laporan keuangan sesuai dengan PSAK,,Keuangan,Bisnis RS,Karena terjadi kesalahan pengukuran pendapatan BPJS mungkin saja dapat mengakibatkan salah saji material pada laporan keuangan sehingga dapat mengakibatkan kerugian finansial yang dapat mempengaruhi kesalahan dalam pengambilan keputusan bisnis perusahaan,Kesalahan pengukuran pendapatan BPJS,C,2,2,Berkonsultasi dengan KAP atau Auditor Independent,Ada,Efektif,4,RENDAH,Berkonsultasi dengan KAP atau Auditor Independent,Setiap Bulan,Bisnis Perusahaan,Akuntansi,Akuntansi
74,Sistem Informasi Akuntansi Keuangan,Penyajian laporan keuangan sesuai dengan PSAK,,Keuangan,Bisnis RS,Karena besarnya volume dan kompleksitas operasional dalam transaksi keuangan rumah sakit mengakibatkan ketergantungan terhadap sistem informasi yang mungkin saja dapat menyebabkan berhentinya siklus akuntansi apabila terdapat kerusakan atau kendala sistem lainnya sehingga dapat mengakibatkan berhentinya pelaporan informasi keuangan dalam kurun waktu tertentu,Ketergantungan terhadap sistem informasi,C,2,2,Berkonsultasi dengan KAP atau Auditor Independent,Ada,Efektif,4,RENDAH,Berkonsultasi dengan KAP atau Auditor Independent,Setiap Bulan,Bisnis Perusahaan,Akuntansi,Akuntansi
75,Klasifikasi Transaksi,Penyajian laporan perpajakan sesuai dengan regulasi perpajakan yang berlaku,,Keuangan,Bisnis RS,Karena kesalahan dalam pengklasifikasian transaksi antara pendapatan obat rawat jalan dan rawat inap mungkin saja dapat mengakibatkan perhitungan kembali Pajak Pertambahan Nilai yang tidak sesuai dengan kondisi transaksi keuangan rumah sakit yang sebenarnya sehingga dapat mengakibatkan kurang atau lebih bayar PPN Masa pada bulan berjalan,Kesalahan dalam pengklasifikasian transaksi antara pendapatan obat rawat jalan dan rawat inap,C,2,2,"Berkonsultasi dengan Konsultan Pajak dan AR KPP Madya Bogor
",Ada,Efektif,4,RENDAH,"Berkonsultasi dengan Konsultan Pajak dan AR KPP Madya Bogor
",Setiap Bulan,Bisnis Perusahaan,Pajak,Akuntansi
76,Perlakuan Pajak dalam Transaksi Rumah Sakit,Penyajian laporan perpajakan sesuai dengan regulasi perpajakan yang berlaku,,Keuangan,Bisnis RS,Karena transaksi keuangan rumah sakit melibatkan jenis transaksi yang memiliki perlakuan perpajakan yang berbeda-beda mungkin saja dapat mengakibatkan kesalahan dalam perhitungan dan penggunaan tarif perpajakan yang menyebabkan kurang atau lebih bayar pajak serta kesalahan pelaporan dalam Surat Pemberitahuan Tahunan Badan Perusahaan,Kesalahan dalam perhitungan dan penggunaan tarif perpajakan,C,2,2,"Berkonsultasi dengan Konsultan Pajak dan AR KPP Madya Bogor
",Ada,Efektif,4,RENDAH,"Berkonsultasi dengan Konsultan Pajak dan AR KPP Madya Bogor
",Setiap Bulan,Bisnis Perusahaan,Pajak,Akuntansi
77,Perubahan Peraturan Perpajakan,Penyajian laporan perpajakan sesuai dengan regulasi perpajakan yang berlaku,,Keuangan,Bisnis RS,Karena terjadi perubahan regulasi perpajakan yang sering terjadi mungkin saja mengakibatkan perusahaan kesulitan untuk mengikuti dan menerapkan aturan terbaru sehingga dapat mempengaruhi ketepatan waktu pembayaran dan pelaporan perpajakan,Perubahan regulasi perpajakan,C,2,2,"Berkonsultasi dengan Konsultan Pajak dan AR KPP Madya Bogor
",Ada,Efektif,4,RENDAH,"Berkonsultasi dengan Konsultan Pajak dan AR KPP Madya Bogor
",Setiap Bulan,Bisnis Perusahaan,Pajak,Akuntansi
78,Transaksi Arus Kas,Menghasilkan Arus Kas Positif Setiap Bulan,,Keuangan,Bisnis RS,"Karena terjadi pengeluaran biaya yang tidak teranggarkan sebelumnya, mungkin saja dapat mengakibatkan lonjakan cash out sehingga dapat mengganggu cash flow perusahaan",Pengeluaran yang tidak sesuai dalam anggaran perusahaan,C,2,2,Melakukan pembelian dengan tetap berpedoman pada anggaran perusahaan yang telah di setujui BOD,Ada,Efektif,4,RENDAH,Melakukan pembelian dengan tetap berpedoman pada anggaran perusahaan yang telah di setujui BOD,Setiap Bulan,Bisnis Perusahaan,Keuangan,Akuntansi
79,Transaksi Arus Kas,Menghasilkan Arus Kas Positif Setiap Bulan,,Keuangan,Bisnis RS,"Karena terjadi keterlambatan penerimaan pendapatan baik dari pasien tunai, asuransi dan BPJS mungkin saja dapat mempengaruhi kondisi cash flow perusahaan sehingga dapat mengakibatkan terganggunya arus kas perusahaan",Cash In yang tidak sesuai dengan anggaran perusahaan,C,2,2,Berkoordinasi dengan Unit AR dan melakukan percepatan pembayaran atas tagihan-tagihan tertunda dengan menggunakan metode penagihan lainnya,Ada,Efektif,4,RENDAH,Berkoordinasi dengan Unit AR dan melakukan percepatan pembayaran atas tagihan-tagihan tertunda dengan menggunakan metode penagihan lainnya,Setiap Bulan,Bisnis Perusahaan,Keuangan,Akuntansi
80,Rekonsiliasi data tagihan asuransi,Memastikan rekonsiliasi data tagihan sesuai dan akurat,,Keuangan,Bisnis RS,Karena ketidaktepatan rekonsiliasi data tagihan asuransi mungkin saja mengakibatkan data tidak akurat sehingga hasil tidak sesuai dengan pihak penjamin,Human error atau kurangnya akurasi verifikasi menyebabkan ketidaksamaan data rekonsiliasi,C,2,2,Pengecekan ulang manual oleh supervisor; cross-check dengan pihak asuransi,Ada,Efektif,4,RENDAH,Implementasi checklist standar rekonsiliasi; otomatisasi validasi data dalam sistem,Setiap Hari,Keuangan,Hadi Kurniawan,Keuangan
81,Pemantauan aging piutang asuransi,Memastikan piutang asuransi dibayar < 60 hari,,Keuangan,Bisnis RS,Karena piutang asuransi melebihi 60 hari mungkin saja mengakibatkan lama pembayaran sehingga cashflow rumah sakit menjadi terganggu,Pengajuan klaim yang tidak tepat waktu atau revisi berulang menyebabkan keterlambatan pembayaran,C,3,4,Monitoring aging mingguan; follow up rutin ke asuransi,Ada,Efektif,12,TINGGI,Menerapkan SLA internal pengajuan klaim ≤ H+7; dashboard otomatis aging klaim,Setiap Minggu,Keuangan,Hadi Kurniawan,Keuangan
82,Penagihan klaim asuransi,Meningkatkan pencapaian collectability ratio,,Keuangan,Bisnis RS,"Karena rendahnya tingkat kolektabilitas klaim yang mempengaruhi performa keuangan, mungkin saja mengakibatkan pendapatan rumah sakit tidak terserap optimal sehingga mengganggu perencanaan operasional",Kelengkapan klaim kurang optimal atau follow up tidak konsisten menyebabkan keterlambatan pembayaran,C,3,4,Follow up harian untuk klaim due date,Ada,Efektif,12,TINGGI,Membuat SOP follow-up piutang; integrasi laporan pending claim per penjamin,Setiap Minggu,Keuangan,Hadi Kurniawan,Keuangan
83,Pembuatan & pengiriman invoice,Memastikan invoice dikirim paling lambat H+7 setelah discharge,,Keuangan,Bisnis RS,Karena invoice terlambat mungkin saja mengakibatkan lama pembayaran dikirim sehingga cashflow rumah sakit menjadi terganggu,Berkas medis atau data pendukung terlambat diterima menyebabkan invoice tidak dapat dibuat tepat waktu,C,3,3,Monitoring harian discharge pasien; koordinasi dengan farmasi/medis,Ada,Efektif,9,SEDANG,Digitalisasi berkas klaim; reminder otomatis untuk discharge H0-H7,Setiap Minggu,Keuangan,Hadi Kurniawan,Keuangan
84,Verifikasi tarif layanan,Memastikan seluruh tarif sesuai Buku Tarif yang berlaku,,Keuangan,Bisnis RS,Karena ketidaksesuaian tarif layanan dengan Buku Tarif yang berlaku mungkin saja mengakibatkan klaim ditolak atau harus direvisi sehingga proses pembayaran menjadi tertunda dan mempengaruhi cashflow rumah sakit,Pembaruan tarif tidak diinput ke sistem atau verifikasi kurang teliti,C,2,2,Review tarif bulanan,Ada,Efektif,4,RENDAH,Update tarif terpusat oleh tim keuangan; audit tarif triwulanan,Insidentil,Keuangan,Mahfud Isro,Keuangan
85,Perhitungan & verifikasi jasa medis,Memastikan perhitungan dan pembayaran jasmed tepat & tanpa revisi,,Keuangan,Bisnis RS,"Karena kesalahan perhitungan jasa medis yang menyebabkan revisi pembayaran, mungkin saja mengakibatkan keterlambatan penerimaan honor oleh dokter sehingga menurunkan kepercayaan dan kepuasan dokter terhadap proses pembayaran",Input data tindakan/tarif tidak akurat atau tidak diverifikasi ulang,C,2,2,Verifikasi dua tingkat (staff & supervisor),Ada,Efektif,4,RENDAH,Sistem otomatisasi perhitungan; integrasi data tindakan dokter real-time,Setiap Bulan,Keuangan,Mahfud Isro,Keuangan
86,Melakukan pemesanan ke distributor,Memenuhi Permintaan dari setiap unit - unit,,Keuangan,Bisnis RS,"karena, terjadi kesalahan dan keterlambatan dalam pembuatan pemesanan sediaan farmasi mungkin saja dapat mempengaruhi jumlah stock sediaan farmasi sehingga dapat mengganggu pelayanan","kesalahan dan keterlambatan dalam pemesanan sediaan Farmasi,alat kesehatan dan BHMP",C,2,4,Sebelum pemesanan atas sediaan farmasi pihak pengadaan melakukan pengecekan stock terlebih dahulu,Tidak,Kurang Efektif,8,SEDANG,Membuatan buffer stock dalam sistem rumah sakit,bulanan,Bisnis Perusahaan,Procurement,Procurement
